text,language,label,label_num,clean_text
Admin kondaerripokula unnade,Tenglish,abusive,0,admin kondaerripokula unnade
modda telsu neeku cheddy gadki acting gurinchi,Tenglish,abusive,0,modda telsu neeku cheddy gadki acting gurinchi
ErriPuK la tho argue cheyakodadhu,Tenglish,abusive,0,erripuk la tho argue cheyakodadhu
Ni yamma Twitter dlt chesipardengali,Tenglish,abusive,0,ni yamma twitter dlt chesipardengali
Enduku bro adigi mari dengichukuntaru? ,Tenglish,abusive,0,enduku bro adigi mari dengichukuntaru
Directors ni bali cheyyali characterless Lanza kodakallara,Tenglish,abusive,0,directors ni bali cheyyali characterless lanza kodakallara
Orey Chiranjeevi intlo una kukka kuda intha vishasam ga pani cheyadhu,Tenglish,abusive,0,orey chiranjeevi intlo una kukka kuda intha vishasam ga pani cheyadhu
dini mundhu addanga dengipoyindi sankrantiki vasthunnam ,Tenglish,abusive,0,dini mundhu addanga dengipoyindi sankrantiki vasthunnam
Anduke konni kukka lani dooram pettadu bunny,Tenglish,abusive,0,anduke konni kukka lani dooram pettadu bunny
Nijam ga  e kukka chesina duty ki GC team antha e kukka  kallu kadigina ,Tenglish,abusive,0,nijam ga e kukka chesina duty ki gc team antha e kukka kallu kadigina
Orey ne guvva ni minga enni post lu estav raa oka movie kosam,Tenglish,abusive,0,orey ne guvva ni minga enni post lu estav raa oka movie kosam
Dengeai lanjodaka pakkaki...kanisam neku siggu anipinchaledaa raa..m,Tenglish,abusive,0,dengeai lanjodaka pakkakikanisam neku siggu anipinchaledaa raam
Hero fanpage la behave chesthunav lucha na kodaka,Tenglish,abusive,0,hero fanpage la behave chesthunav lucha na kodaka
"Rudthunav ga, dini kana champi dengu mamlani ",Tenglish,abusive,0,rudthunav ga dini kana champi dengu mamlani
daniki kani daniki pakuladatam deniki asalu rc gadi reputation moddala kalputunnaru,Tenglish,abusive,0,daniki kani daniki pakuladatam deniki asalu rc gadi reputation moddala kalputunnaru
"Orey aapu ra babu ,nuvvu dengey dengudiki velle vadukuda aapestademo",Tenglish,abusive,0,orey aapu ra babu nuvvu dengey dengudiki velle vadukuda aapestademo
"Sare ra opukuntam gc ee winner,avi ani org collections ee .nuvve e tweets apu ra babu savadengutunav ",Tenglish,abusive,0,sare ra opukuntam gc ee winneravi ani org collections ee nuvve e tweets apu ra babu savadengutunav
naa kukka kuda intha nammakanga ledhu.. such a loyal dog ra nuvvu,Tenglish,abusive,0,naa kukka kuda intha nammakanga ledhu such a loyal dog ra nuvvu
"Gudd#a ki siggu undali ra, yuddham kuda 6 tarawata aapestaru",Tenglish,abusive,0,gudda ki siggu undali ra yuddham kuda 6 tarawata aapestaru
 pichi puku movie suggest me please,Tenglish,abusive,0,pichi puku movie suggest me please
Ni lanti Mada kojja la valle rc vadi ki vadu oh pedha hero anukuntuntunad.,Tenglish,abusive,0,ni lanti mada kojja la valle rc vadi ki vadu oh pedha hero anukuntuntunad
Leader ha dheniki ra ...modda gudaniyyaka,Tenglish,abusive,0,leader ha dheniki ra modda gudaniyyaka
@ThalaBheem unblock chayi ra hooka,Tenglish,abusive,0,thalabheem unblock chayi ra hooka
Nee Amma ppokkkku Akram lk,Tenglish,abusive,0,nee amma ppokkkku akram lk
edhoka rotta puch vey ra kukka vachhi @thaalabheem0,Tenglish,abusive,0,edhoka rotta puch vey ra kukka vachhi thaalabheem0
Akarama lanja kodku ntr AAthu lanja kodku ntr oka madda ke purani na kodukulu meru edru,Tenglish,abusive,0,akarama lanja kodku ntr aathu lanja kodku ntr oka madda ke purani na kodukulu meru edru
Gundu antuna vadu kukkka chavu sachadu ga joker chese,Tenglish,abusive,0,gundu antuna vadu kukkka chavu sachadu ga joker chese
@thaalabheem0 dengalevu izzath potadi lite tisko,Tenglish,abusive,0,thaalabheem0 dengalevu izzath potadi lite tisko
International platforms lo ekkada undi ra puka,Tenglish,abusive,0,international platforms lo ekkada undi ra puka
Cheddy gadu gudhalo undhi vellu choosuko ra erri kula puku ga,Tenglish,abusive,0,cheddy gadu gudhalo undhi vellu choosuko ra erri kula puku ga
"Ray paytm lanjakodaka gap lo meru yenduku ra soft ga ma degara ku vastaru, kukalakana henam ra meru",Tenglish,abusive,0,ray paytm lanjakodaka gap lo meru yenduku ra soft ga ma degara ku vastaru kukalakana henam ra meru
Oka batch vundo ErriPK batch credit dengeyadanikiii....,Tenglish,abusive,0,oka batch vundo erripk batch credit dengeyadanikiii
@Tejuholicc2 puxxa Puxx muskoni dhengaye inka,Tenglish,abusive,0,tejuholicc2 puxxa puxx muskoni dhengaye inka
Aathu puranam kavalante  aathu lanjodaka,Tenglish,abusive,0,aathu puranam kavalante aathu lanjodaka
50C Loss vachina movie ni myth breaker GC ani vesadu ee kukka ,Tenglish,abusive,0,50c loss vachina movie ni myth breaker gc ani vesadu ee kukka
Rey kukka @Fukkard idi choosava,Tenglish,abusive,0,rey kukka fukkard idi choosava
AT theatres vadu erripuuu just ala dorikipotadu,Tenglish,abusive,0,at theatres vadu erripuuu just ala dorikipotadu
Alaga jathi lanjakodaka nuvvu chesedi entra puka,Tenglish,abusive,0,alaga jathi lanjakodaka nuvvu chesedi entra puka
Thatha vaste dengulu thini pothade,Tenglish,abusive,0,thatha vaste dengulu thini pothade
Thatha vasthade dengulu thini velthade,Tenglish,abusive,0,thatha vasthade dengulu thini velthade
Vaammo maamulu mingudu kaadhuu thatha nii,Tenglish,abusive,0,vaammo maamulu mingudu kaadhuu thatha nii
Dengu adini thappu ledu erripuku gadu,Tenglish,abusive,0,dengu adini thappu ledu erripuku gadu
Neeku dinner kadhura direct dinnam bojanluu pedtham raa kamma Lanjakodaka,Tenglish,abusive,0,neeku dinner kadhura direct dinnam bojanluu pedtham raa kamma lanjakodaka
Mi vodu kante g Balupu la uvdhi niku,Tenglish,abusive,0,mi vodu kante g balupu la uvdhi niku
Akaram lanjakodaka lara ha ha 😂😂 bull bull ki knchem duram ga uodamanu,Tenglish,abusive,0,akaram lanjakodaka lara ha ha bull bull ki knchem duram ga uodamanu
"Akrama lanjakodakallara, anirudh credit ni ega dengtunnaru",Tenglish,abusive,0,akrama lanjakodakallara anirudh credit ni ega dengtunnaru
Chillara kukkalu..ae mega mafia batchu.,Tenglish,abusive,0,chillara kukkaluae mega mafia batchu
Ed Sheeran gaadini Adukkuni song padinchi em show thenguthunnarra🤣,Tenglish,abusive,0,ed sheeran gaadini adukkuni song padinchi em show thenguthunnarra
"Oreyy ah ED gadiki NTR evado kuda telidu ra,, 😂 nuvu ne pichi pxxu tweet lu ",Tenglish,abusive,0,oreyy ah ed gadiki ntr evado kuda telidu ra nuvu ne pichi pxxu tweet lu
moment ni enjoy cheyandra errina kodakalara epudu mamidha padi edavatamena,Tenglish,abusive,0,moment ni enjoy cheyandra errina kodakalara epudu mamidha padi edavatamena
Megays inka underground ki mingestaru daily edho ka dhebha padatundi ,Tenglish,abusive,0,megays inka underground ki mingestaru daily edho ka dhebha padatundi
Ma hero peru cheppukoni dabbulu dengipovadam tappa!,Tenglish,abusive,0,ma hero peru cheppukoni dabbulu dengipovadam tappa
Anni memu chesthe nuvvu em chestav ra puka?,Tenglish,abusive,0,anni memu chesthe nuvvu em chestav ra puka
Mogga lo entry chusam kaani shark moggalo nunchi entry first time,Tenglish,abusive,0,mogga lo entry chusam kaani shark moggalo nunchi entry first time
Mee ntr gadu samudram lo nijaga swim chesada .. sora chepatho nijanga fight chesada ra erri huk,Tenglish,abusive,0,mee ntr gadu samudram lo nijaga swim chesada sora chepatho nijanga fight chesada ra erri huk
Acting gurinchi chiru troll chesaru ante  vaadantha villa puk nibba gadu inkodu vundadu,Tenglish,abusive,0,acting gurinchi chiru troll chesaru ante vaadantha villa puk nibba gadu inkodu vundadu
